ID,Name,Version,Custom Container,Disableable,Dependencies
Sampler,Sampling Performance Profiler,1.15,false,RESTART,[]
SmartMoving,Smart Moving,15.2,false,RESTART,[]
SmartRender,Smart Render,2.0,false,RESTART,[]
supercraftingframe,Super Crafting Frame,1.7.10.1,false,RESTART,[]
ThaumcraftMobAspects,Thaumcraft Mob Aspects,1.7.2-2A,false,RESTART,"[Forge@[10.12.2.1121,), Thaumcraft@[4.1.1,)]"
thaumcraftneiplugin,Thaumcraft NEI Plugin,1.7.10-1.6a,false,RESTART,[Thaumcraft]
thaumicnei,Thaumic NEI,1.7.10-0.1.0,false,RESTART,"[NotEnoughItems, Thaumcraft]"
thirstmod,Thirst Mod,1.8.8,false,RESTART,[]
ttCore,ttCore,MC1.7.10-0.1.0-55,false,DEPENDENCIES,[]
wailaplugins,WAILA Plugins,MC1.7.10-0.0.1-10,false,RESTART,"[Forge@[10.13.0.1208,), ttCore@[MC1.7.10-0.1.0-40,), Waila]"
WaslieCore,WaslieCore,1.1,false,DEPENDENCIES,[]
ForestryExtras,Forestry Extras,3.1,false,RESTART,"[Forestry, WaslieCore, Thaumcraft, ExtraTiC, EnderIO, oodmod, BigReactors, ModularMachines]"
McMultipart,Minecraft Multipart Plugin,1.1.0.314,false,RESTART,[]
ForgeMicroblock,Forge Microblocks,1.1.0.314,false,RESTART,"[ForgeMultipart, *]"
